season,episode_num,title,description,duration,published_date,url,explicit
"",74,Conventions,"",60,"Aug 29, 1997",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=74,""
"",75,Kindness of Strangers,"In 1940, Jack Geiger, at the age of fourteen, left his middle-class Jewish home and knocked on the door of a black actor named Canada Lee. He asked Lee if he could move in with him. Lee said yes, and in Lee's Harlem apartment, Geiger spent a year with many of the great figures of the Harlem renaissance: Langston Hughes, Billy Strayhorn, Richard Wright, Adam Clayton Powell. This is what Geiger ended up doing because of that experience. 

A side note: It turns out there's a movie in which Canada Lee takes a white teenager under his wing and counsels him, as he did for Jack Geiger in real life. The film is called Lost Boundaries. (11 minutes)  Childhood • Housing • Teenagers • Theater              

",60,"Sep 12, 1997",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=75,""
"",76,Mob,"Susan Berman, author of the memoir Easy Street, the True Story of a Gangster's Daugher, reads from her book about her father Davie Berman, a Jewish gangster and one of the men  — with Meyer Lansky and Bugsy Siegel — who created modern Las Vegas. (7 minutes)

",60,"Sep 19, 1997",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=76,""
"",77,Pray,"",60,"Sep 26, 1997",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=77,""
"",78,How Bad Is Bad?,"",60,"Oct 3, 1997",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=78,""
"",79,Stuck in the Wrong Decade,"",60,"Oct 10, 1997",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=79,""
"",80,Running After Antelope,"",60,"Oct 17, 1997",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=80,""
"",81,Guns,"",60,"Oct 24, 1997",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=81,""
"",82,Haunted,"",60,"Oct 31, 1997",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=82,""
"",83,One of Us,"",60,"Nov 14, 1997",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=83,""
"",84,Harold,"A history of the brief mayoral career of Harold Washington, and its lessons for black and white America, as told by people close to him. Many are activists and politicians: Lu Palmer, Judge Eugene Pincham, Congressman Danny Davis, then-alderman Eugene Sawyer. There are people from his administration — Jackie Grimshaw and Grayson Mitchell — and some reporters who followed his story: Vernon Jarrett, Monroe Anderson, Gary Rivlin, Laura Washington (who became his press secretary). Plus, a few ordinary voters and a political opponent of the late mayor.

Act One continues after the break. (46 minutes)  

Twenty years after Harold's death, we take up the question: has white Chicago changed?

Host Ira Glass reviews how black candidates have fared in white wards since Harold with someone uniquely situated to know: David Axelrod, who was a political advisor to Harold Washington during Washington's second mayoral race and who is also chief political and media advisor to President Barack Obama.

Ira also checks in with Judge Eugene Pincham, ten years after their first interview.

Then, WBEZ Chicago reporter Robert Wildeboer goes out to several wards where Harold Washington did very poorly in the '80s, including one where he got less than one percent of the vote, to find out if a black man ran for mayor today, would the same kinds of things happen. (11 minutes)  City • Death • Government • Heroism • History • Politics • Race              

",60,"Nov 21, 1997",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=84,""
"",85,Poultry Slam 1997,"",60,"Dec 5, 1997",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=85,""
"",86,How to Take Money from Strangers,"",60,"Dec 12, 1997",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=86,""
"",87,A Very Special Sedaris Christmas,"A Hollywood TV producer tries to convince a church of evangelical Christians to sell out a member of their own congregation. Matt Malloy reads. He was one of the stars of the acclaimed independent film In the Company of Men.

Also in this act: Dickens vs. Sedaris. Dickens scholar John Jordan compares the Christmas stories of Charles Dickens (who wrote one nearly every year from 1843 through 1867) and David Sedaris. (24 minutes)

",60,"Dec 19, 1997",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=87,""
1998,88,Numbers,"",60,"Jan 2, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=88,""
1998,89,Sibling Rivalry,"",60,"Jan 9, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=89,""
1998,90,Telephone,"",60,"Jan 16, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=90,""
1998,91,Escape the Box,"",60,"Jan 30, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=91,""
1998,92,Leave the Mask On,"Margy Rochlin sees a new side of her father when, in his seventies, he becomes a monologist like Spalding Gray. Her dad, Fred Rochlin, is a huge hit. He tells stories about his experiences in World War II and enters worlds his grown children never imagined him in. But sometimes Margy finds herself hearing things she'd just as soon not know about him. 

Fred went on to compile his stories in the book Old Man in a Baseball Cap: A Memoir of World War II. (31 minutes)

",60,"Feb 6, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=92,""
1998,93,Valentine's Day '98,"",60,"Feb 13, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=93,""
1998,94,How To,"A how-to by Junot Diaz, from his book Drown. (11 minutes)

Read the content advisory we sent out to stations in advance of airing Junot Diaz's How to Date a Browngirl, Blackgirl, Whitegirl, or Halfie.

",60,"Feb 27, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=94,""
1998,95,Monogamy,"",60,"Mar 6, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=95,""
1998,96,Pinned by History,"",60,"Mar 13, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=96,""
1998,97,Death to Wacky,"",60,"Mar 20, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=97,""
1998,98,Throwing the First Punch,"Manny Howard talks with Paul Tough about why he loved fighting in bars and on the street, and about how hard it is to quit. Manny is the author of My Empire of Dirt: How One Man Turned His Big-City Backyard into a Farm. (20 minutes)

Yom Kippur with Gloves. The Kitchen Sisters — Davia Nelson and Nikki Silva — explain how the whole town of Kodiak, Alaska, used to fight. It was cathartic. (4 minutes)

",60,"Mar 27, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=98,""
1998,99,"I Enjoy Being A Girl, Sort Of","",60,"Apr 10, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=99,""
1998,100,Radio,"",60,"Apr 24, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=100,""
1998,101,Niagara,"",60,"May 1, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=101,""
1998,102,Road Trip!,"What we want on the road — many of us — is adventure. And what is adventure but a moment you never could've predicted before you left home? Chicago writer Cheryl Trykv tells the story of one such moment. (7 minutes)

Songs: ""Happy Trails"" and ""One More Mile,"" Dave Dudley.

",60,"May 22, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=102,""
1998,103,Scenes from A Transplant,"",60,"May 29, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=103,""
1998,104,Music Lessons,"",60,"Jun 5, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=104,""
1998,105,Take A Negro Home,"",60,"Jun 12, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=105,""
1998,106,Father's Day '98,"This is a story about an odd breach of trust between father and child, done unintentionally, and what happens next. Lawrence Weschler is an author and journalist. He and his 11-year-old daughter Sara tell the tale. She believed that she saw a four-inch tall human being, a little girl, like she read about in the children's books The Borrowers. She began leaving treats and notes for this girl. She was upset when the girl didn't seem to take them, and, finally, her father took them and wrote her a note back, pretending to be the 4-inch-tall girl. (23 minutes)

",60,"Jun 19, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=106,""
1998,107,Trail of Tears,"",60,"Jul 3, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=107,""
1998,108,Truth and Lies at Age Ten,"",60,"Aug 7, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=108,""
1998,109,Notes on Camp,"



",60,"Aug 28, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=109,""
1998,110,Mapping,"",60,"Sep 4, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=110,""
1998,111,Adventures in the Simple Life,"Visit the Turtle Island Preserve website; Eustace Conway, one of the riders in this show, is the director of this educational/retreat center in the Appalachian Mountains.

",60,"Sep 11, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=111,""
1998,112,Ladies and Germs,"",60,"Oct 2, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=112,""
1998,113,Windfall,"",60,"Oct 16, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=113,""
1998,114,Last Words,"",60,"Oct 23, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=114,""
1998,115,First Day,"",60,"Nov 13, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=115,""
1998,116,Poultry Slam 1998,"",60,"Nov 27, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=116,""
1998,117,You Gonna Eat That?,"",60,"Dec 11, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=117,""
1998,118,What You Lookin' At?,"

",60,"Dec 18, 1998",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=118,""
1999,119,Lockup,"",60,"Jan 8, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=119,""
1999,120,Be Careful Who You Pretend to Be,"",60,"Jan 22, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=120,""
1999,121,Twentieth Century Man,"",60,"Jan 29, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=121,""
1999,122,Valentine's Day '99,"",60,"Feb 12, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=122,""
1999,123,High Cost of Living,"",60,"Feb 26, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=123,""
1999,124,Welcome to America,"",60,"Mar 19, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=124,""
1999,125,Apocalypse,"



",60,"Apr 2, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=125,""
1999,126,Do-Gooders,"",60,"Apr 9, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=126,""
1999,127,Pimp Anthropology,"",60,"Apr 16, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=127,""
1999,128,Four Corners,"Sarah Vowell has a theory that you can tell the entire history of the United States by standing on one street corner—specifically at Michigan Avenue and Wacker Drive in Chicago—and describing all the events that happened within eyeshot of the corner. She covers three centuries of history, from Louis Joliet to Keanu Reeves. (21 minutes) 



",60,"Apr 30, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=128,""
1999,129,Advice,"",60,"May 14, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=129,""
1999,130,Away From Home,"",60,"May 21, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=130,""
1999,131,The Kids Are Alright,"",60,"Jun 4, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=131,""
1999,132,Father's Day '99,"",60,"Jun 18, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=132,""
1999,133,Sales,"",60,"Jun 25, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=133,""
1999,134,We Didn't,"

",60,"Jul 9, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=134,""
1999,135,Allure of Crime,"

",60,"Jul 23, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=135,""
1999,136,You Are Here,"",60,"Aug 6, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=136,""
1999,137,The Book That Changed Your Life,"",60,"Aug 20, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=137,""
1999,138,The Real Thing,"",60,"Aug 27, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=138,""
1999,139,Ghosts of Elections Past,"",60,"Sep 3, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=139,""
1999,140,Family Business,"",60,"Sep 24, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=140,""
1999,141,Invisible Worlds,"",60,"Oct 1, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=141,""
1999,142,Barbara,"",60,"Oct 15, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=142,""
1999,143,Sentencing,"",60,"Oct 22, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=143,""
1999,144,Where Words Fail,"",60,"Nov 5, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=144,""
1999,145,Poultry Slam 1999,"",60,"Nov 26, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=145,""
1999,146,Urban Nature,"",60,"Dec 10, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=146,""
1999,147,A Teenager's Guide to God,"",60,"Dec 17, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=147,""
1999,148,The Angels Wanna Wear My Red Suit,"",60,"Dec 24, 1999",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=148,""
2000,149,Bedside Diplomacy,"",60,"Jan 14, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=149,""
2000,150,Kids As Adults,"",60,"Jan 21, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=150,""
2000,151,Primary,"",60,"Jan 28, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=151,""
2000,152,Crush,"",60,"Feb 11, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=152,""
2000,153,Dolls,"",60,"Mar 3, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=153,""
2000,154,In Dog We Trust,"

",60,"Mar 10, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=154,""
2000,155,Hoaxing Yourself,"",60,"Mar 17, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=155,""
2000,156,What Remains,"",60,"Mar 31, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=156,""
2000,157,Secret Life of Daytime,"",60,"Apr 14, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=157,""
2000,158,Mob Mentality,"",60,"May 5, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=158,""
2000,159,Mother's Day,"",60,"May 12, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=159,""
2000,160,Character Assassination,"",60,"May 19, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=160,""
2000,161,Million Bubbles,"",60,"Jun 2, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=161,""
2000,162,Moving,"",60,"Jun 23, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=162,""
2000,163,Can You Fight City Hall…If You Are City Hall?,"",60,"Jun 30, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=163,""
2000,164,Crime Scene,"",60,"Jul 7, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=164,""
2000,165,Americans In Paris,"",60,"Jul 28, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=165,""
2000,166,Nobody's Family Is Going to Change,"",60,"Aug 11, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=166,""
2000,167,Memo to the People of the Future,"",60,"Sep 8, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=167,""
2000,168,The Fix Is In,"",60,"Sep 15, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=168,""
2000,169,Pursuit of Happiness,"",60,"Sep 29, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=169,""
2000,170,Immigration,"",60,"Oct 13, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=170,""
2000,171,Election,"",60,"Nov 3, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=171,""
2000,172,24 Hours at the Golden Apple,"",60,"Nov 17, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=172,""
2000,173,Three Kinds of Deception,"",60,"Dec 15, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=173,""
2000,174,"Birthdays, Anniversaries, and Milestones","The story of Tyler Cassity and how he's trying to remake one of our oldest rituals of commemoration.

Tyler is one of the owners of a cemetery called Hollywood Forever, and he's been introducing 20th-Century technology to American funerals, which haven't changed much since the Civil War. At Hollywood Forever, the cost of a burial includes a video of your life: to be shown at your funeral, to be viewable at kiosks on the cemetery grounds, and to be posted—for eternity—on the Internet. (16 minutes)

Long-time Fresh Air host Terry Gross offers her congratulations... and some words of wisdom to This American Life to help commemorate the show's fifth anniversary. (2 minutes)

",60,"Dec 29, 2000",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=174,""
2001,175,Babysitting,"We listen in on a ritual that happens in millions of families every week: kids getting dropped off at the babysitters. Six-year-old Dylan and nine-year-old Sarah explain what they can and can't get away with when they have a babysitter. After that, host Ira Glass has a few words about Mary Poppins, who is the Gold Standard of all fictional babysitters. The movie Mary Poppins contains the classic modern song about babysitting. We hear several versions of the song over the course of the program. The first is by Chicago girl punk/pop band, the Dishes. (5 minutes)

Lots of babysitting is done by family members. Hillary Frank reports on what can happen when a teenaged son is put in charge of his younger brothers. It's not pretty. Hillary produces the podcast The Longest Shortest Time, about early parenting.
(14 minutes)

The story of several huge companies that accidentally got put into the babysitting business in a big, big way because of snow on December 26, 1988. Every year on the day after Christmas, divorced kids all over America fly from one parent to the other. In 1988, lots of them got snowed in at O'Hare Airport in Chicago. Susan Burton and her little sister were among them. (9 minutes)

Myron Jones and his sister Carol Bove explain what happened when they were teenagers, and they ended up babysitting children who didn't exist. (25 minutes)

",60,"Jan 5, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=175,""
2001,176,"Two Nations, One President","",60,"Jan 26, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=176,""
2001,177,American Limbo,"",60,"Feb 9, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=177,""
2001,178,Superpowers,"",60,"Feb 23, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=178,""
2001,179,Cicero,"",60,"Mar 16, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=179,""
2001,180,Return to Childhood,"",60,"Mar 23, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=180,""
2001,181,The Friendly Man,"",60,"Apr 6, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=181,""
2001,182,Cringe,"",60,"Apr 13, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=182,""
2001,183,The Missing Parents Bureau,"",60,"Apr 20, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=183,""
2001,184,Neighbors,"",60,"May 11, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=184,""
2001,185,Golden Calf,"",60,"May 25, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=185,""
2001,186,Prom,"",60,"Jun 8, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=186,""
2001,187,Father's Day '01,"",60,"Jun 15, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=187,""
2001,188,Kid Logic,"",60,"Jun 22, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=188,""
2001,189,Hitler's Yacht,"",60,"Jul 13, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=189,""
2001,190,Living the Dream,"",60,"Aug 3, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=190,""
2001,191,I Know What You Did This Summer,"",60,"Aug 17, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=191,""
2001,192,Meet the Pros,"",60,"Aug 31, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=192,""
2001,193,Stories of Loss,"",60,"Sep 14, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=193,""
2001,194,Before and After,"",60,"Sep 21, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=194,""
2001,195,War Stories,"",60,"Sep 28, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=195,""
2001,196,Rashomon,"",60,"Oct 5, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=196,""
2001,197,Before It Had A Name,"",60,"Oct 26, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=197,""
2001,198,How to Win Friends and Influence People,"",60,"Nov 2, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=198,""
2001,199,House on Loon Lake,"",60,"Nov 16, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=199,""
2001,200,Hearts and Minds,"",60,"Nov 30, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=200,""
2001,201,Them,"",60,"Dec 7, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=201,""
2001,202,Faith,"",60,"Dec 21, 2001",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=202,""
2002,203,Recordings for Someone,"",60,"Jan 11, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=203,""
2002,204,81 Words,"",60,"Jan 18, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=204,""
2002,205,Plan B,"",60,"Feb 1, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=205,""
2002,206,Somewhere in the Arabian Sea,"",60,"Mar 1, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=206,""
2002,207,Special Ed,"",60,"Mar 8, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=207,""
2002,208,Office Politics,"",60,"Mar 15, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=208,""
2002,209,Didn't Ask to Be Born,"",60,"Mar 29, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=209,""
2002,210,Perfect Evidence,"",60,"Apr 19, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=210,""
2002,211,Naming Names,"",60,"May 3, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=211,""
2002,212,The Other Man,"",60,"May 10, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=212,""
2002,213,Devil on My Shoulder,"",60,"May 24, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=213,""
2002,214,Family Physics,"",60,"May 31, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=214,""
2002,215,Ask An Expert,"",60,"Jun 14, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=215,""
2002,216,Give the People What They Want,"",60,"Jul 12, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=216,""
2002,217,Give It to Them,"",60,"Aug 2, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=217,""
2002,218,Act V,"

",60,"Aug 9, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=218,""
2002,219,High Speed Chase,"",60,"Aug 16, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=219,""
2002,220,Testosterone,"",60,"Aug 30, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=220,""
2002,221,Fake I.D.,"",60,"Sep 20, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=221,""
2002,222,Suckers,"",60,"Sep 27, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=222,""
2002,223,Classifieds,"",60,"Oct 11, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=223,""
2002,224,Middlemen,"",60,"Oct 25, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=224,""
2002,225,Home Movies,"",60,"Nov 8, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=225,""
2002,226,Reruns,"

",60,"Dec 6, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=226,""
2002,227,Why We Fight,"",60,"Dec 20, 2002",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=227,""
2003,228,You Are So Beautiful…To Me,"",60,"Jan 3, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=228,""
2003,229,Secret Government,"",60,"Jan 10, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=229,""
2003,230,Come Back to Afghanistan,"",60,"Jan 31, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=230,""
2003,231,Time to Save the World,"",60,"Feb 7, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=231,""
2003,232,The Real Story,"",60,"Feb 14, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=232,""
2003,233,Starting from Scratch,"",60,"Mar 7, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=233,""
2003,234,Say Anything,"",60,"Mar 14, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=234,""
2003,235,The Balloon Goes Up,"",60,"Mar 21, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=235,""
2003,236,My Two Cents,"",60,"Apr 11, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=236,""
2003,237,Regime Change,"",60,"Apr 18, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=237,""
2003,238,Lost in Translation,"",60,"May 30, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=238,""
2003,239,Lost in America,"",60,"Jun 6, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=239,""
2003,240,I'm In Charge Now,"",60,"Jun 20, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=240,""
2003,241,20 Acts in 60 Minutes,"",60,"Jul 11, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=241,""
2003,242,Enemy Camp,"",60,"Jul 18, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=242,""
2003,243,Later That Same Day,"",60,"Jul 25, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=243,""
2003,244,MacGyver,"",60,"Aug 15, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=244,""
2003,245,Allure of the Mean Friend,"",60,"Sep 5, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=245,""
2003,246,My Pen Pal,"



",60,"Sep 12, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=246,""
2003,247,What Is This Thing?,"",60,"Sep 19, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=247,""
2003,248,Like It or Not,"",60,"Oct 24, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=248,""
2003,249,Garbage,"",60,"Oct 31, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=249,""
2003,250,The Annoying Gap Between Theory...and Practice,"",60,"Nov 7, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=250,""
2003,251,Brother's Keeper,"",60,"Nov 21, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=251,""
2003,252,Poultry Slam 2003,"",60,"Nov 28, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=252,""
2003,253,The Middle of Nowhere,"",60,"Dec 5, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=253,""
2003,254,"Teenage Embed, Part Two","",60,"Dec 12, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=254,""
2003,255,This American's Life's Holiday Gift-Giving Guide,"",60,"Dec 19, 2003",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=255,""
2004,256,Living Without,"

",60,"Jan 9, 2004",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=256,""
2004,257,What I Should've Said,"",60,"Jan 16, 2004",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=257,""
2004,258,Leaving the Fold,"",60,"Jan 30, 2004",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=258,""
2004,259,Promised Land,"",60,"Feb 20, 2004",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=259,""
